,Unnamed: 0,Unnamed: 0.1,outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1.1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2.1,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All.1,outlet_id,subway_station_x,address_x,borough_x,zip_x,ftp_visible_x,black and mild_x,bm_quantity_x,bm_flavor_x,bm_pkgclr_x,entourage_x,e_quantity_x,e_flavor_x,e_pkgclr_x,blunt wraps_x,bw_quantity_x,bw_flavor,bw_pkgclr_x,zig zag_x,zz_quantity_x,zz_flavor_x,zz_pkgclr_x,show_x,sh_quantity_x,sh_flavor_x,sh_pkgclr_x,swisher sweets_x,ss_quantity_x,ss_flavor_x,ss_pkgclr_x,hype_x,hy_quantity_x,hy_flavor_x,hy_pkgclr_x,d'ville_x,dv_quantity_x,dv_flavor_x,dv_pkgclr_x,game_x,gm_quantity_x,gm_flavor_x,gm_pkgclr_x,other_x,other_quantity_x,other_flavor_x,other_pkgclr_x,unidentifiable_brand_x,issues_x,subway_station_y,address_y,borough_y,zip_y,ftp_visible_y,black and mild_y,bm_quantity_y,bm_flavor_y,bm_pkgclr_y,entourage_y,e_quantity_y,e_flavor_y,e_pkgclr_y,blunt wraps_y,bw_quantity_y,bw_flavors,bw_pkgclr_y,zig zag_y,zz_quantity_y,zz_flavor_y,zz_pkgclr_y,show_y,sh_quantity_y,sh_flavor_y,sh_pkgclr_y,swisher sweets_y,ss_quantity_y,ss_flavor_y,ss_pkgclr_y,hype_y,hy_quantity_y,hy_flavor_y,hy_pkgclr_y,d'ville_y,dv_quantity_y,dv_flavor_y,dv_pkgclr_y,game_y,gm_quantity_y,gm_flavor_y,gm_pkgclr_y,other_y,other_quantity_y,other_flavor_y,other_pkgclr_y,unidentifiable_brand_y,issues_y,geo22,lon,lat
0,0,0,1.0,"7th Ave. (B,Q)",310 FLATBUSH AVE Brooklyn NY 11238,11238.0,partially hidden behind counter,Y,Y,Y,Janelle,BK,JP,Jun-38,6.0,38.0,Jun-38,6.0,38.0,SA,Feb-34,2.0,34.0,Apr-34,4.0,34,,,,,,,,1,"7th Ave. (B,Q)",310 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,y,1.0,gold,,n,,,,,,,,,,"7th Ave. (B,Q)",310 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,Y,N,,,,Y,1.0,palma,,N,,,,N,0.0,,,N,,,,N,,,,N,,,,Y,1.0,Vanilla,,N,,,,N,,,,1,,"[40.6773151, -73.97286009999999]", -73.97286009999999,40.6773151
1,1,1,2.0,"7th Ave. (B,Q)",387 FLATBUSH AVE Brooklyn NY 11238,11238.0,"very far behind counter, difficult to see",Y,Y ,Y - But does not capture all cigs on display,Janelle,BK,JP,14-Mar,3.0,14.0,14-Apr,4.0,14.0,SA,18-Mar,3.0,18.0,18-Mar,3.0,18,,,,,,,,2,"7th Ave. (B,Q)",387 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,y,4.0,"sweet, buzz, white grape",,n,,,,n,,,,y,1.0,gold,,n,,,,"backwoods, bluntville",2.0,"sweet aromatic, palma",,4.0,,"7th Ave. (B,Q)",387 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,Y,N,,,,Y,1.0,Palma,,N,,,,N,,,,Y,4.0,"sweet, buzz, white grape",white,N,,,,N,,,,Y,2.0,Vanilla,,N,,,,N,,,,,,"[40.6760809, -73.9714004]", -73.9714004,40.6760809
2,2,2,3.0,"7th Ave. (B,Q)",322 FLATBUSH AVE Brooklyn NY 11238,11238.0,Difficult to see if menthol,Y ,Y ,Y - Blurry ,Janelle,BK,JP,60/339,60.0,339.0,60/339,60.0,339.0,SA,Jun-42,6.0,42.0,Oct-42,10.0,42,,,,,,,,3,"7th Ave. (B,Q)",322 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"7th Ave. (B,Q)",322 FLATBUSH AVE Brooklyn NY 11238,BK,11238.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6770555, -73.9726146]", -73.9726146,40.6770555
3,3,3,4.0,Bedford Ave. (L),150 N 7TH ST Brooklyn NY 11211,11221.0,,Y,Y,Y,Janelle & Sally,BK,JP,Sep-34,9.0,34.0,Oct-34,10.0,34.0,SA,Sep-34,9.0,34.0,Nov-34,11.0,34,,,,,,,,4,Bedford Ave. (L),150 N 7TH ST Brooklyn NY 11211,BK,11221.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,Bedford Ave. (L),150 N 7TH ST Brooklyn NY 11211,BK,11221.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.718636, -73.959009]", -73.959009,40.718636
4,4,4,5.0,Bedford Ave. (L),183 BEDFORD AVE Brooklyn NY 11211,11221.0,,Y,Y,Y,Janelle & Sally,BK,JP,14/46,14.0,46.0,15/46,15.0,46.0,SA,15/50,15.0,50.0,20/50,20.0,50,,,,,,,,5,Bedford Ave. (L),183 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bedford Ave. (L),183 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,Y,N,,,,N,,,,Y,2.0,"Zero+, Kush",,N,,,,Y,4.0,"Buzz, Sweet, Black Natural, OG Kush",,N,,,,Y,1.0,Summer Love,,Y,3.0,"Pink Diva, Gold, VANILLA",,N,,,,N,,,,,,"[40.7177917, -73.95749649999999]", -73.95749649999999,40.7177917
5,5,5,6.0,Bedford Ave. (L),167 BEDFORD AVE Brooklyn NY 11211,11221.0,paritally blocked by vendor,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,23/95,23.0,95.0,28/95,28.0,95.0,RL,23/93,23.0,93.0,28/93,28.0,93,,,,,,,,6,Bedford Ave. (L),167 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bedford Ave. (L),167 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.7182029, -73.9571291]", -73.9571291,40.7182029
6,6,6,7.0,Bedford Ave. (L),160 BEDFORD AVE Brooklyn NY 11249,11249.0,,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,Aug-56,8.0,56.0,Nov-56,11.0,56.0,RL,Aug-56,8.0,56.0,Oct-56,10.0,56,,,,,,,,7,Bedford Ave. (L),160 BEDFORD AVE Brooklyn NY 11249,BK,11249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bedford Ave. (L),160 BEDFORD AVE Brooklyn NY 11249,BK,11249.0,Y,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,Y,3.0,Vanilla,,N,,,,N,,,,,,"[40.7186396, -73.957155]", -73.957155,40.7186396
7,7,7,8.0,Bedford Ave. (L),154 BEDFORD AVE Brooklyn NY 11249,11249.0,display is misleading,Y,Y ,Y,Janelle & Sally,BK,JP,Jun-72,6.0,72.0,13/72,13.0,72.0,RL,May-70,5.0,70.0,13/70,13.0,70,,,,,,,,8,Bedford Ave. (L),154 BEDFORD AVE Brooklyn NY 11249,BK,11249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bedford Ave. (L),154 BEDFORD AVE Brooklyn NY 11249,BK,11249.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.7187871, -73.9569887]", -73.9569887,40.7187871
8,8,8,9.0,Bedford Ave. (L),185 BEDFORD AVE Brooklyn NY 11211,11221.0,Best wall of cigs seen ,Y,Y ,Y ,Janelle & Sally,BK,JP,99/293,99.0,293.0,108/293,108.0,293.0,SA,Oct-44,10.0,44.0,13/44,13.0,44,,,,,,,,9,Bedford Ave. (L),185 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,Bedford Ave. (L),185 BEDFORD AVE Brooklyn NY 11211,BK,11221.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.717669, -73.95770759999999]", -73.95770759999999,40.717669
9,9,9,10.0,"Kings Highway (B,Q)",1932 KINGS HWY Brooklyn NY 11229,11229.0,blocked by vendor,Y,Y,N ,Janelle,BK,JP,18-May,5.0,18.0,18-May,5.0,18.0,RL,18-May,5.0,18.0,18-May,5.0,18,,,,,,,,10,"Kings Highway (B,Q)",1932 KINGS HWY Brooklyn NY 11229,BK,11229.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Kings Highway (B,Q)",1932 KINGS HWY Brooklyn NY 11229,BK,11229.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6103548, -73.9537862]", -73.9537862,40.6103548
10,10,10,11.0,"Kings Highway (B,Q)",1521 KINGS HWY Brooklyn NY 11229,11229.0,Pharmacy,Y,Y,Y - Good quality,Janelle,BK,JP,16/130,16.0,130.0,22/130,22.0,130.0,SA,14/31,14.0,31.0,Apr-31,4.0,31,,,,,,,,11,"Kings Highway (B,Q)",1521 KINGS HWY Brooklyn NY 11229,BK,11229.0,y,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,al capone,1.0,sweet (cognac),,,,"Kings Highway (B,Q)",1521 KINGS HWY Brooklyn NY 11229,BK,11229.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.609334, -73.9576113]", -73.9576113,40.609334
11,11,11,12.0,"Kings Highway (B,Q)",1806 KINGS HWY Brooklyn NY 11229,11229.0,,Y,Y,Y - Good quality,Janelle,BK,JP,32/118,32.0,118.0,38/118,38.0,118.0,SA,36/122,36.0,122.0,43/122,43.0,122,,,,,,,,12,"Kings Highway (B,Q)",1806 KINGS HWY Brooklyn NY 11229,BK,11229.0,y,n,,,,y,2.0,"le prive, palma",,n,,,,y,1.0,straight up,,n,,,,n,,,,n,,,,y,1.0,gold,,n,,,,backwoods,1.0,sweet aromatic,,4.0,,"Kings Highway (B,Q)",1806 KINGS HWY Brooklyn NY 11229,BK,11229.0,Y,N,,,,Y,2.0,"Palma, Le Prive",,N,,,,N,,,,N,,,,N,,,,N,,,,Y,1.0,Vanilla,,N,,,,N,,,,,,"[40.609898, -73.9552585]", -73.9552585,40.609898
12,12,12,13.0,"Kings Highway (B,Q)",1401 KINGS HWY Brooklyn NY 11229,11229.0,,Y,Y,Y - Good quality,Janelle,BK,JP,66/342,66.0,342.0,78/342,78.0,342.0,SA,56/342,56.0,342.0,106/342,106.0,342,,,,,,,,13,"Kings Highway (B,Q)",1401 KINGS HWY Brooklyn NY 11229,BK,11229.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,captain black,1.0,vanilla,,,,"Kings Highway (B,Q)",1401 KINGS HWY Brooklyn NY 11229,BK,11229.0,Y,Y,7.0,,"blue, orange brown, tan",N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.608787, -73.9589939]", -73.9589939,40.608787
13,13,13,14.0,"Kings Highway (B,Q)",1101 QUENTIN RD Brooklyn NY 11229,11229.0,,Y,Y ,Y - Not as clear as others but usable,Janelle,BK,JP,Apr-35,4.0,35.0,Jul-35,7.0,35.0,SA,Sep-35,9.0,35.0,Nov-35,11.0,35,,,,,,,,14,"Kings Highway (B,Q)",1101 QUENTIN RD Brooklyn NY 11229,BK,11229.0,y,n,,,,y,2.0,"le prive, palma",,n,,,,y,1.0,straight up,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,4.0,,"Kings Highway (B,Q)",1101 QUENTIN RD Brooklyn NY 11229,BK,11229.0,Y,Y,4.0,,brown,Y,2.0,"Palma, Le Prive",,Y,2.0,,"silver, brown",Y,1.0,Straight Up,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,2,,"[40.6080358, -73.9617605]", -73.9617605,40.6080358
