outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
1,"7th Ave. (B,Q)",310 FLATBUSH AVE Brooklyn NY 11238,11238,partially hidden behind counter,Y,Y,Y,Janelle,BK,JP,6/38,6,38,6/38,6,38,SA,2/34,2,34,4/34,4,34,,,,,,,
2,"7th Ave. (B,Q)",387 FLATBUSH AVE Brooklyn NY 11238,11238,"very far behind counter, difficult to see",Y,Y ,Y - But does not capture all cigs on display,Janelle,BK,JP,3/14,3,14,4/14,4,14,SA,3/18,3,18,3/18,3,18,,,,,,,
3,"7th Ave. (B,Q)",322 FLATBUSH AVE Brooklyn NY 11238,11238,Difficult to see if menthol,Y ,Y ,Y - Blurry ,Janelle,BK,JP,60/339,60,339,60/339,60,339,SA,6/42,6,42,10/42,10,42,,,,,,,
4,Bedford Ave. (L),150 N 7TH ST Brooklyn NY 11211,11221,,Y,Y,Y,Janelle & Sally,BK,JP,9/34,9,34,10/34,10,34,SA,9/34,9,34,11/34,11,34,,,,,,,
5,Bedford Ave. (L),183 BEDFORD AVE Brooklyn NY 11211,11221,,Y,Y,Y,Janelle & Sally,BK,JP,14/46,14,46,15/46,15,46,SA,15/50,15,50,20/50,20,50,,,,,,,
6,Bedford Ave. (L),167 BEDFORD AVE Brooklyn NY 11211,11221,paritally blocked by vendor,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,23/95,23,95,28/95,28,95,RL,23/93,23,93,28/93,28,93,,,,,,,
7,Bedford Ave. (L),160 BEDFORD AVE Brooklyn NY 11249,11249,,Y,Y ,Y-acceptable ,Janelle & Sally,BK,JP,8/56,8,56,11/56,11,56,RL,8/56,8,56,10/56,10,56,,,,,,,
8,Bedford Ave. (L),154 BEDFORD AVE Brooklyn NY 11249,11249,display is misleading,Y,Y ,Y,Janelle & Sally,BK,JP,6/72,6,72,13/72,13,72,RL,5/70,5,70,13/70,13,70,,,,,,,
9,Bedford Ave. (L),185 BEDFORD AVE Brooklyn NY 11211,11221,Best wall of cigs seen ,Y,Y ,Y ,Janelle & Sally,BK,JP,99/293,99,293,108/293,108,293,SA,10/44,10,44,13/44,13,44,,,,,,,
10,"Kings Highway (B,Q)",1932 KINGS HWY Brooklyn NY 11229,11229,blocked by vendor,Y,Y,N ,Janelle,BK,JP,5/18,5,18,5/18,5,18,RL,5/18,5,18,5/18,5,18,,,,,,,
