,outletID,Subway_Station,Tobacco_Outlet_Addres
19,20.0,Kosciuszko St. (J),1165 BROADWAY Brooklyn NY 11221
29,30.0,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207
30,31.0,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207
35,36.0,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225
37,38.0,"Sterling St. (2,5)",1037 NOSTRAND AVE Brooklyn NY 11225
44,45.0,"161 St - Yankee Stadium, 4, B & D train",90 E 161ST ST Bronx NY 10451
55,56.0,"Bronx Park East, 2 & 5 train",2001 WHITE PLAINS RD Bronx NY 10462
56,57.0,"Bronx Park East, 2 & 5 train",2068 WALLACE AVE Bronx NY 10462
58,59.0,"Bronx Park East, 2 & 5 train",2009 CRUGER AVE Bronx NY 10462
61,62.0,"Prospect Av, 2&5 Train",855 PROSPECT AVE Bronx NY 10459
62,63.0,"Prospect Av, 2&5 Train",850 LONGWOOD AVE Bronx NY 10459
63,64.0,"Prospect Av, 2&5 Train",839C PROSPECT AVE Bronx NY 10459
66,67.0,"St Lawrence Av, 6 train",1791 GLEASON AVE Bronx NY 10472
69,70.0,"St Lawrence Av, 6 train",1792 WESTCHESTER AVE Bronx NY 10472
72,73.0,"Westchester Sq - E Tremont, 6 train ",17 WESTCHESTER SQ Bronx NY 10461
76,77.0,"Westchester Sq - E Tremont, 6 train ",134 WESTCHESTER SQUARE Bronx NY 10461
77,78.0,"Westchester Sq - E Tremont, 6 train ",15 WESTCHESTER SQ Bronx NY 10461
83,84.0,"125 St, 1 train",501 W 125TH ST Manhattan NY 10027
95,96.0,"Cortlandt St, N & R train",12 JOHN ST Manhattan NY 10038
100,101.0,"Inwood - 207 St,  A train",4973 BROADWAY Manhattan NY 10034
111,112.0,21st St. - Van Alst (G),2302 JACKSON AVE Queens NY 11101
112,113.0,21st St. - Van Alst (G),4520 23RD ST Queens NY 11101
116,117.0,21st St. - Van Alst (G),2123 49TH AVE Queens NY 11101
118,119.0,"65th St. (E,M,R)",4002 69TH ST Queens NY 11377
121,122.0,"67th Ave. (E,M,R)",6533 AUSTIN ST Queens NY 11374
122,123.0,"67th Ave. (E,M,R)",10122 QUEENS BLVD Queens NY 11375
123,124.0,"67th Ave. (E,M,R)",6725 AUSTIN ST Queens NY 11375
125,126.0,"67th Ave. (E,M,R)",10301 QUEENS BLVD Queens NY 11375
127,132.0,"Elmhurst Ave. (E,M,R)",8281 BROADWAY Queens NY 11373
135,140.0,"Jamaica Center - Parsons/Archer (E,J,Z)",15527 JAMAICA AVE Queens NY 11432
138,143.0,"Jamaica Center - Parsons/Archer (E,J,Z)",15809 ARCHER AVE Queens NY 11433
151,158.0,"Canal St, 1 & 2 train",386 CANAL ST Manhattan NY 10013
160,128.0,"Astoria - Ditmars Blvd. (N,Q)",3103 21st Avenue
161,129.0,"Astoria - Ditmars Blvd. (N,Q)",3601 21st Avenue
